한글,French,Example Sentence,Translated Sentence,Explanation
리터,liter,이 물통은 2리터짜리예요.,Cette gourde est d'une contenance de 2 litres.,리터 = litre (unité de volume). Emprunt du français/anglais. Largement utilisé pour les liquides.
온도 조절 기능,temperature control function,이 포트는 온도 조절 기능이 있어요.,Cette bouilloire a une fonction de contrôle de température.,온도 = température + 조절 = réglage + 기능 = fonction. Caractéristique précieuse pour les personnes qui préparent du thé vert à différentes températures.
저야 좋지요,that sounds good to me!,그렇게 해주신다면 저야 좋지요!,Si vous faites comme ça pour moi ça m'arrange vraiment !,"저야 = moi en particulier (particule 야 souligne le sujet) + 좋지요 = c'est bien. Réponse polie exprimant qu'on est content d'accepter une proposition."
뚜껑이 잘 안 닫히다,the lid doesn't close very well,이 냄비는 뚜껑이 잘 안 닫혀요.,Le couvercle de cette casserole ne se ferme pas très bien.,뚜껑 = couvercle + 닫히다 = se fermer (passif). Décrit un défaut fonctionnel d'un ustensile.
세게 탁 치다,to tap firmly,뚜껑을 열려면 세게 탁 치세요.,Pour ouvrir le couvercle frappez-le fermement.,세게 = fort/avec force + 탁 = onomatopée d'un coup + 치다 = frapper. Instructions pratiques pour ouvrir un objet bloqué.
모양,appearance/shape,이 물건은 모양이 독특해요.,Cet objet a une forme unique.,모양 = forme/apparence. Terme général pour décrire l'aspect visuel d'un objet en 2D ou 3D.
감촉,"texture, how something feels to touch",이 천의 감촉이 정말 부드러워요.,La texture de ce tissu est vraiment douce.,감촉 = sensation au toucher. Comment quelque chose se ressent quand on le touche.
길쭉하다,to be a little long on both ends,이 열쇠는 길쭉하게 생겼어요.,Cette clé a une forme allongée.,길다 (être long) + 쭉 (tout droit). Décrit quelque chose d'allongé dans sa dimension principale.
네모나다,to be in the shape of a square,이 쿠션은 네모나게 생겼어요.,Ce coussin est en forme de carré.,네모 = carré + 나다 = avoir la forme de. Décrit un objet dont la forme est carrée ou rectangulaire.
둥글다,to be in the shape of a circle,지구는 둥글어요.,La Terre est ronde.,둥글다 = être rond/circulaire. Décrit une forme circulaire ou sphérique.
세모나다,to be in the shape of a triangle,이 표지판은 세모나게 생겼어요.,Ce panneau a une forme triangulaire.,세모 = triangle + 나다 = avoir la forme de. Décrit un objet dont le profil forme un triangle.
부드럽다,"to be not rough or hard, but smooth against the skin",이 담요는 정말 부드러워요.,Cette couverture est vraiment douce.,Qualifie une surface agréable au toucher. Contraire de 딱딱하다 (dur) ou 거칠다 (rugueux).
푹신하다,"cushioning, to be soft and comfortable",이 소파는 정말 푹신해요.,Ce canapé est vraiment moelleux.,"Décrit quelque chose de doucement rembourré qui absorbe le poids confortablement. Différent de 부드럽다 (doux au toucher)."
딱딱하다,to be firm and hard,이 베개가 너무 딱딱해요.,Cet oreiller est trop dur.,Qualifie une surface rigide qui ne cède pas à la pression. Peut aussi décrire une attitude formelle ou froide.
비닐,thin plastic vinyl,비닐봉지를 줄이는 게 중요해요.,Il est important de réduire les sacs plastiques.,비닐 = plastique souple (PVC). Terme générique pour les emballages plastiques fins. Sujet de débat écologique en Corée.
유리,glass,유리컵이 예뻐요.,Le verre en verre est joli.,"Matière transparente et fragile. En chimie : dioxyde de silicium. S'utilise pour les fenêtres, vaisselle, etc."
천,fabric,이 가방은 천으로 만들어졌어요.,Ce sac est fabriqué en tissu.,천 = tissu/étoffe. Matière souple en fibres naturelles ou synthétiques. Souvent utilisé pour les vêtements et sacs.
플라스틱,plastic,이 물병은 플라스틱으로 만들어졌어요.,Cette bouteille est fabriquée en plastique.,"플라스틱 = plastique. Matière synthétique omniprésente. Emprunt de l'anglais « plastic »."
이만하다,to be this big,이만한 크기면 딱 맞아요.,Cette taille-là c'est parfait.,이만하다 = être approximativement de cette taille (accompagné d'un geste de la main). Sert à indiquer une dimension par approximation.
스탠드,floor lamp,책상 옆에 스탠드를 놓았어요.,J'ai posé une lampe de bureau à côté du bureau.,"스탠드 = lampe de bureau ou lampadaire. Emprunt de l'anglais « stand ». En coréen peut désigner une lampe à pied ou de bureau."
서랍장,dresser,옷을 서랍장에 넣었어요.,J'ai rangé les vêtements dans la commode.,서랍 = tiroir + 장 = meuble. Meuble de rangement à plusieurs tiroirs. Commode ou chiffonnier.
텀블러,water bottle,환경을 위해 텀블러를 들고 다니세요.,Pour l'environnement emportez une gourde réutilisable.,"텀블러 = tumbler (anglais). Gourde/mug réutilisable. Très populaire en Corée pour l'esthétique et l'écologie."
묘사하기,describe an object or scene,물건을 정확하게 묘사하는 연습을 해요.,On s'entraîne à décrire précisément des objets.,묘사 = description détaillée + 하기 = nominalisation de faire. Compétence utile en coréen pour acheter ou retrouver des objets.
잠이 안 깨다,to be groggy in the morning,아침에 잠이 잘 안 깨요.,Je n'arrive pas à me réveiller correctement le matin.,잠 = sommeil + 안 깨다 = ne pas se réveiller. Décrit l'état de somnolence en début de journée.
아령,dumbbell,아령으로 운동하고 있어요.,Je fais de l'exercice avec des haltères.,"아령 = haltère. Instrument de musculation léger, souvent utilisé à domicile."
기대했던 것 이상으로 좋았어,it was even better than I had expected,그 식당은 기대했던 것 이상으로 좋았어.,Ce restaurant était encore meilleur que ce à quoi je m'attendais.,"기대하다 = s'attendre à + 이상으로 = au-delà de. Exprimer une agréable surprise, surpassant les attentes initiales."
운동이 되다,serves as exerise,이 청소가 생각보다 운동이 돼요.,Ce ménage est plus sportif qu'on ne le pense.,운동 = exercice + 이 되다 = devenir/servir de. Exprimer qu'une activité ordinaire est physiquement bénéfique.
알람이 올리다,the alarm goes off,아침마다 알람이 울려요.,Chaque matin l'alarme sonne.,"알람 = alarme + 울리다 = sonner. (Note : le verbe correct est 울리다, 올리다 est une coquille dans le manuel.)"
회,"times, repetitions",하루에 두 번씩 복용하세요.,Prenez deux fois par jour.,Classificateur (compteur) coréen pour les répétitions ou occurrences d'une action.
30회,30 times,이 운동을 30회 반복하세요.,Répétez cet exercice 30 fois.,30 + 회 = 30 fois. Utilisé pour les séries d'exercice ou les posologies médicales.
그런 게 있어?,I hadn't heard of that before. is there such a thing?,그런 물건이 있어? 신기하다!,Il existe vraiment un tel objet ? C'est fascinant !,Expression de surprise et d'étonnement face à quelque chose d'inattendu ou d'inconnu.
길이,length(가),이 선반의 길이가 얼마예요?,Quelle est la longueur de cette étagère ?,길이 = longueur. Dimension mesurée dans le sens le plus long d'un objet.
무게,weight,이 가방의 무게가 얼마나 돼요?,Combien pèse ce sac ?,무게 = poids. Mesure de la force gravitationnelle exercée sur un objet.
길로그램,kilogram,이 짐이 20킬로그램이에요.,Ce bagage pèse 20 kilogrammes.,"킬로그램 = kilogramme. Unité de poids standard international. (Note : 길로그램 est une variante phonétique, 킬로그램 est la forme standard.)"
잠이 깨다,to wake up,시끄러운 소리에 잠이 깼어요.,Je me suis réveillé à cause d'un bruit fort.,잠 = sommeil + 깨다 = se briser/se réveiller. Se réveiller d'un sommeil. Opposé de 잠이 들다 (s'endormir).
열쇠고리,keychain,귀엽고 예쁜 열쇠고리를 샀어요.,J'ai acheté un joli porte-clés.,열쇠 = clé + 고리 = anneau. Objet décoratif accroché aux clés. Les 열쇠고리 coréens sont souvent des cadeaux souvenirs.
콘센트,power outlet,콘센트에 플러그를 꽂았어요.,J'ai branché la prise de courant.,"콘센트 = prise électrique (de l'anglais « concentric »). Terme coréen spécifique pour la prise murale."
플러그,plug (noun),플러그를 뽑아야 안전해요.,Il faut débrancher la prise pour la sécurité.,"플러그 = fiche électrique (de l'anglais « plug »). Partie de l'appareil qui s'insère dans la prise."
꽂다,to plug in,충전기를 콘센트에 꽂아 주세요.,Branchez le chargeur à la prise s'il vous plaît.,꽂다 = enfoncer/insérer. Introduire un objet dans un espace prévu. Utilisé pour les prises et les clés.
보관하다,to store,음식을 냉장고에 보관하면 오래 가요.,Conserver les aliments au réfrigérateur les fait durer plus longtemps.,보관 = conservation/stockage + 하다. Garder quelque chose dans de bonnes conditions pour un usage futur.
빼다,"to pull out, remove",사용 후에 플러그를 빼 주세요.,Après utilisation veuillez retirer la fiche.,"빼다 = retirer/extraire. Sortir quelque chose d'un espace où il était inséré. Opposé de 꽂다."
케이블,cable,이 기기에는 긴 케이블이 필요해요.,Cet appareil nécessite un long câble.,케이블 = câble (de l'anglais). Fil conducteur reliant des appareils électroniques.
손/발이 시리다,one's hands or feet are cold,겨울에 손발이 시려요.,En hiver mes mains et pieds sont glacés.,시리다 = être glacé/douloureux de froid. Décrit une douleur provoquée par le froid extrême dans les extrémités.
고생하다,"to have a hard time, to suffer",한국에서 처음 살 때 많이 고생했어요.,J'ai beaucoup souffert quand je vivais en Corée pour la première fois.,고생 = peine/effort pénible + 하다. Traverser une période difficile physiquement ou moralement.
즐겨 쓰다,"to use frequently, to use a lot",이 앱을 즐겨 쓰고 있어요.,J'utilise fréquemment cette appli.,"즐겨 = avec plaisir/régulièrement + 쓰다 = utiliser. Indique une utilisation habituelle et appréciée, une préférence."
아이디어 상품,Novelty item,이 아이디어 상품이 정말 유용해요.,Cet article original est vraiment pratique.,아이디어 = idée + 상품 = produit. Objet innovant et créatif qui résout un problème de façon ingénieuse.
일석이조,to kill two birds with one stone,운동도 되고 재미도 있어서 일석이조예요.,C'est bon pour la santé et amusant en même temps : d'une pierre deux coups.,일석이조 = une pierre deux oiseaux. Expression idiomatique pour une action qui apporte deux bénéfices.
작심삼일로 끝나다,a resolution is short-lived,항상 작심삼일로 끝나요.,Mes décisions ne tiennent jamais plus de trois jours.,작심삼일 = résolution de trois jours. Expression culturelle coréenne pour les résolutions abandonnées rapidement (comme les bonnes résolutions).
담배를 끊다,to quit smoking,드디어 담배를 끊었어요.,J'ai enfin arrêté de fumer.,담배 = cigarette + 끊다 = couper/arrêter. Mettre fin à l'habitude de fumer. Souvent lié à une résolution.
대표적이다,"to be a good example, to be representative of",작심삼일이 가장 대표적인 예예요.,La résolution de trois jours est l'exemple le plus représentatif.,대표 = représentant + 적이다. Être l'exemple type ou emblématique d'une catégorie.
올해,this year,올해 목표가 뭐예요?,Quel est votre objectif pour cette année ?,올 = cet(te) + 해 = année. Désigne l'année en cours. Souvent utilisé en début d'année pour fixer des objectifs.
멋지다,"to be nice, wonderful",이 아이디어 상품이 정말 멋지네요.,Cet article original est vraiment génial !,멋 = style/cool + 지다. Qualifie quelque chose d'impressionnant et de stylé.
아침형 인간,an early bird,저는 아침형 인간이에요.,Je suis un lève-tôt.,"아침 = matin + 형 = type + 인간 = être humain. Personne productive le matin. Opposé de 저녁형 인간 (couche-tard)."
소리를 내다,to make a sound,이 장난감은 소리를 내요.,Ce jouet fait du bruit.,소리 = son + 내다 = émettre/produire. Produire un son de manière active.
한 손에 쏙 들어오다,to fit right in one's hand,이 텀블러는 한 손에 쏙 들어와요.,Cette gourde tient parfaitement dans une seule main.,"한 손 = une seule main + 쏙 = parfaitement/exactement + 들어오다 = entrer dans. Décrit quelque chose d'ergonomique."
양쪽,both sides,양쪽 주머니에 손을 넣었어요.,J'ai mis les mains dans les deux poches.,양쪽 = les deux côtés. S'utilise autant pour les directions que pour les parties d'un objet.
바퀴,wheel,이 여행 가방은 바퀴가 4개예요.,Cette valise de voyage a 4 roues.,바퀴 = roue. Élément circulaire permettant le roulement. Très utile sur les valises et trottinettes.
이리저리,"in various ways, here and there",물건을 이리저리 옮겼어요.,J'ai déplacé les objets dans tous les sens.,"이리 = par ici + 저리 = par là. Indique des mouvements dans différentes directions, sans ordre précis."
고무,rubber,이 장갑은 고무로 만들어졌어요.,Ces gants sont fabriqués en caoutchouc.,고무 = caoutchouc/gomme. Matière élastique et imperméable. Utilisée pour les gants de cuisine et tuyaux.
부서지다,"to break, to fall apart",이 물건은 부서지기 쉬워요.,Cet objet se casse facilement.,부서지다 = se briser/s'effondrer (passif de 부수다). Décrit la destruction d'un objet sous l'effet d'un choc.
제시간,"at the right time, on time",제시간에 도착했어요.,Je suis arrivé à l'heure.,제 = propre/ exact + 시간 = temps. Le moment exactement prévu. Synonyme de 정시에.
변신하다,"to transform into, to turn into",이 제품은 다양하게 변신해요.,Ce produit se transforme de diverses façons.,변신 = transformation + 하다. Changer radicalement d'apparence ou de forme. Souvent utilisé pour des objets polyvalents.
운동 도구,exercise tool,집에 운동 도구가 있어요?,Vous avez des équipements de sport chez vous ?,운동 = sport/exercice + 도구 = outil/accessoire. Equipements pour faire du sport à domicile.
발목에 감다,to wrap around one's ankle,이 밴드를 발목에 감아요.,On enroule cette bande autour de la cheville.,발목 = cheville + 감다 = enrouler/envelopper. Geste médical (bandage) ou sportif (échauffement).
실내 장식,interior decorating,실내 장식에 관심이 많아요.,Je m'intéresse beaucoup à la décoration intérieure.,실내 = intérieur + 장식 = décoration. Art d'aménager et embellir l'espace de vie.
휴대폰 꽃이,cell phone stand or holder,휴대폰 꽂이가 있으면 편리해요.,C'est pratique d'avoir un support pour téléphone.,휴대폰 = téléphone portable + 꽂이 = support/porte. Accessoire pour poser ou maintenir le téléphone en position.
장난감,toy,어릴 때 좋아하던 장난감이 있어요?,Avez-vous un jouet que vous aimiez quand vous étiez enfant ?,장난 = plaisanterie/jeu + 감 = matière/objet. Objet destiné aux jeux des enfants. Peut aussi s'utiliser au sens figuré pour adultes.
활용하다,to make use of,일상에서 이 표현을 잘 활용해 보세요.,Essayez de bien utiliser cette expression dans votre quotidien.,활용 = utilisation pratique + 하다. Mettre quelque chose en application de manière efficace.
금연,not smoking,이 건물은 금연이에요.,Ce bâtiment est non-fumeur.,금 = interdire + 연 = tabac/fumer. Interdiction de fumer dans un espace. Affiché dans les lieux publics coréens.
몸에 해롭다,"to be bad for one, to be unhealthy",담배는 몸에 해로워요.,Le tabac est mauvais pour la santé.,몸 = corps + 해롭다 = être nuisible. Exprimer qu'une substance ou habitude est nocive pour le corps.
강력하다,"to be strong, powerful",이 세제는 기름때 제거에 강력해요.,Ce détergent est puissant pour enlever les taches de graisse.,강력 = force/puissance + 하다. Qualifie quelque chose d'extrêmement efficace ou de très intense.
재떨이,ashtray,재떨이를 치워서 금연을 도왔어요.,J'ai enlevé le cendrier pour aider à arrêter de fumer.,재 = cendre + 떨이 = espace de dépôt. Récipient pour les cendres et mégots de cigarette.
폐,lungs,담배는 폐를 손상시켜요.,Le tabac endommage les poumons.,폐 = poumons. Organes respiratoires. Sujet fréquent dans les campagnes anti-tabac coréennes.
담뱃재를 떨다,to flick cigarette ash,담뱃재를 함부로 떨면 안 돼요.,On ne doit pas faire tomber la cendre de cigarette n'importe où.,담뱃재 = cendre de cigarette + 떨다 = secouer/faire tomber. Geste de fumer qui laisse des traces.
구멍이 나다,there is a hole,옷에 구멍이 났어요.,Il y a un trou dans le vêtement.,구멍 = trou/orifice + 나다 = apparaître. Décrit l'apparition d'un trou dans un tissu ou une surface.
콜록콜록,cough! cough!,담배를 많이 피면 콜록콜록해요.,Si on fume beaucoup on tousse ainsi : cough cough.,콜록콜록 = onomatopée de la toux. Son imité d'une quinte de toux sèche et répétée.
-이 쌓여 있다,"to be stacked, to be piled up",책이 쌓여 있어요.,Des livres sont empilés.,쌓다 = empiler + -어 있다 = état résultant. Décrit des objets accumulés les uns sur les autres.
서랍,drawer in a dresser,서랍에 서류를 넣었어요.,J'ai mis les documents dans le tiroir.,서랍 = tiroir. Compartiment coulissant dans un meuble servant au rangement.
의미를 두다,to find meaning in,이 물건에 큰 의미를 두고 있어요.,J'attache une grande signification à cet objet.,의미 = signification + 두다 = placer/accorder. Attribuer une valeur symbolique ou émotionnelle à quelque chose.
추억하다,to remember fondly,옛날 사진을 보며 추억했어요.,J'ai remémoré de bons souvenirs en regardant de vieilles photos.,추억 = souvenir agréable + 하다. Se remémorer avec nostalgie des moments heureux du passé.
심각하다,"to be serious, severe",상황이 심각해졌어요.,La situation est devenue grave.,심각 = gravité/sévérité + 하다. Qualifie une situation préoccupante qui nécessite une attention immédiate.
간직하다,"to have, to keep, cherish",이 반지를 평생 간직할게요.,Je garderai cette bague toute ma vie.,간직하다 = conserver précieusement. Garder quelque chose avec soin et affection pour ne pas le perdre.
추억이 담겨 있다,to contain memories,이 사진에는 많은 추억이 담겨 있어요.,Cette photo renferme beaucoup de souvenirs.,추억 = souvenir + 담기다 = être contenu dans + -어 있다 = état. Un objet porteur de nombreuses émotions du passé.
늘어놓다,"to spread out, to arrange",물건을 바닥에 늘어놓고 정리했어요.,J'ai étalé les objets par terre et les ai rangés.,늘어놓다 = étaler/disposer en rangée. Mettre des objets en ordre de manière linéaire ou étalée.
만지다,"to touch, feel",아이들이 전시물을 만지면 안 돼요.,Les enfants ne doivent pas toucher les objets exposés.,만지다 = toucher avec les mains. Entrer en contact physique avec un objet.
수첩,small notebook,수첩에 중요한 내용을 적었어요.,J'ai noté les informations importantes dans mon carnet.,"수첩 = petit carnet de notes à portée de main. 수 = reçu/note + 첩 = livre plié. Utilisé pour les rendez-vous, contacts et mémos."
가들,fully,수첩이 메모로 가득 찼어요.,Le carnet est complètement rempli de notes.,"가득 = plein/rempli entièrement. (Note : « 가들 » dans le manuel est probablement une variante ou coquille de 가득.)"
적혀 있다,to be written,수첩에 중요한 전화번호가 적혀 있어요.,Les numéros de téléphone importants sont inscrits dans le carnet.,적다 = noter/écrire + -어 있다 = état résultant. Quelque chose a été écrit et reste visible.
골동품,an antique,이 가구는 100년 된 골동품이에요.,Ce meuble est un antique de 100 ans.,골동품 = antiquité/objet ancien. Objet ancien ayant une valeur historique ou artistique.
생생하다,"to be vivid, lifelike",그 기억이 아직도 생생해요.,Ce souvenir est encore très vivace.,"생생하다 = être vivant/frais/vif. Décrit quelque chose de clair et précis, comme si c'était hier."
떠오르다,to come to mind,그 시절이 떠올라요.,Cette époque me revient en mémoire.,떠오르다 = surgir/remonter à la surface. Une pensée ou un souvenir qui émerge spontanément à l'esprit.
